# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
en,101,,,101,cultural_reference,Wiktionary,Wiktionary contributors,,,,"Of a fact, subject, etc.: basic, beginner-level, elementary.",,,,B1,common,0.70,https://en.wiktionary.org/wiki/101,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,110 proof,,,110 proof,cultural_reference,Wiktionary,Wiktionary contributors,,,,Stronger than strong.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/110_proof,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,11 Downing Street,,,11 Downing Street,cultural_reference,Wiktionary,Wiktionary contributors,,,,The address of the residence in London of the Chancellor of the Exchequer of the United Kingdom.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/11_Downing_Street,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,11th commandment,,,11th commandment,cultural_reference,Wiktionary,Wiktionary contributors,,,,A well-known convention (often the most well-known of a certain field) which supposedly can not or should not be broken.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/11th_commandment,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,12-ounce curls,,,12-ounce curls,cultural_reference,Wiktionary,Wiktionary contributors,,,,The activity of drinking beer.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/12-ounce_curls,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,13th reason why,,,13th reason why,cultural_reference,Wiktionary,Wiktionary contributors,,,,.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/13th_reason_why,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,15 minutes of fame,,,15 minutes of fame,cultural_reference,Wiktionary,Wiktionary contributors,,,,"A very short time in the spotlight or brief flurry with fame, after which the person or subject involved is quickly forgotten.",,,,B1,common,0.70,https://en.wiktionary.org/wiki/15_minutes_of_fame,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,23 skidoo,,,23 skidoo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"To leave, particularly quickly or at an advantageous time. }}",,,,B1,common,0.70,https://en.wiktionary.org/wiki/23_skidoo,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,23 Skidoo Street,,,23 Skidoo Street,cultural_reference,Wiktionary,Wiktionary contributors,,,,A fictitious place or a generic place that could refer to any location.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/23_Skidoo_Street,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
en,51 percent,,,51 percent,cultural_reference,Wiktionary,Wiktionary contributors,,,,A narrow or bare majority.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/51_percent,CC-BY-SA-4.0,,en_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
